model_name,variant,cv_mean_accuracy,cv_std_accuracy,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_roc_auc,cv_std_roc_auc
Logistic Regression,none,0.8470238095238095,0.021594956566396217,0.841897233201581,0.017356613008694913,0.8783262504086302,0.07089870442894844,0.7837944664031621,0.033715206501400995,0.8253529352696442,0.015038219310732187,0.9064947130164521,0.01916608403837501
SVM,chi2,0.8303571428571429,0.02860987047833457,0.8277456842674233,0.031015329919376368,0.8266666666666665,0.03392802839999858,0.800790513833992,0.080349033159226,0.8105116514690982,0.03956352556810336,0.8887864148733714,0.02073480778861789
Logistic Regression,chi2,0.8261054421768707,0.03512018001501562,0.8236146301363693,0.03448954461109803,0.8236157562244519,0.06640544856600768,0.800790513833992,0.07503013293757824,0.8079503105590062,0.04062444190249131,0.9059356102834363,0.021311793863746507
SVM,none,0.8305272108843538,0.00914105758529028,0.8249163879598662,0.011278303189653834,0.8609111712086541,0.07009092041185681,0.7652173913043478,0.07397114665795787,0.8041432351082405,0.020641740520220875,0.8849813632422328,0.016012860974788136
Logistic Regression,mutual_info,0.8221938775510204,0.021935479370593505,0.8192668040494129,0.01604103319492222,0.8279178338001868,0.0771561418338655,0.7920948616600791,0.06308528233475581,0.8038407384420673,0.012406069111435887,0.8874066754501537,0.01591821121792441
KNN,chi2,0.8261054421768707,0.04374750014343719,0.8216591781809172,0.04488901730549555,0.8372705314009661,0.05271999069463987,0.7735177865612647,0.0774804381597505,0.8017392772711922,0.051604327018949216,0.885831841266624,0.03909665758099159
Random Forest,chi2,0.8179421768707483,0.028873273963528026,0.8136628267063051,0.026447131378456196,0.8330564005922735,0.06188187223746734,0.7652173913043478,0.05470275765368602,0.7942062540243988,0.027769377174845893,0.9062503519025258,0.02596707495441133
KNN,none,0.8180272108843537,0.03139471444009843,0.8129635260070043,0.03251861835927443,0.8323184773528023,0.03670273402077578,0.7561264822134387,0.05644844469705046,0.7913816675650506,0.039519162231010034,0.8821320788712093,0.026663405632497163
Random Forest,none,0.8097789115646258,0.016929244921466417,0.8064721912547999,0.018901759179754674,0.8096589940323955,0.04523072997389226,0.773913043478261,0.07750059908178512,0.7870345596432553,0.028354191654633657,0.8982134612569397,0.02900221200060744
SVM,mutual_info,0.8140306122448979,0.01304267656241248,0.8086156999200478,0.010663773211149408,0.8357128969055203,0.04622543581368983,0.7474308300395258,0.04766739425037579,0.7864654539521985,0.011949971580934223,0.8824735650822607,0.023035643985332605
Random Forest,mutual_info,0.8099489795918368,0.023626605424234393,0.8047143677578459,0.026298287628579668,0.8263938618925831,0.043664607431996114,0.7470355731225297,0.07546198850607426,0.7810797897754419,0.03731749291957725,0.8747821019560151,0.025622552532903308
KNN,mutual_info,0.7975340136054422,0.0201700967064531,0.7916348546783329,0.022911023113048413,0.8151977671451356,0.03904518489293838,0.7288537549407115,0.07799091060429415,0.7656795814369627,0.03365524480393876,0.8584394671351193,0.029533004277296267
