feature,importance
cat__sex_0.0,1.022410607469738
cat__thal_7.0,0.9973040376224706
num__ca,0.9656346939945342
cat__risk_cp_0.0,0.8071148391198774
cat__slope_2.0,0.6730103342647575
num__exercise_risk,0.5374234091566875
cat__cp_4.0,0.3068680396657228
num__thalach,0.3028036565762072
num__trestbps,0.2428153998328329
cat__thal_3.0,0.21371951535982012
cat__restecg_2.0,0.19911397942484124
num__chol,0.11656420052301662
cat__slope_1.0,0.07706816114443468
cat__risk_cp_1.0,0.047728915853812406
cat__sex_1.0,0.021502190384056423
